"","Valor.Venta","int","precio.Metro2.casa","precio.Metro2.apart","n.banos","n.medio.banos","n.hab","zona","n.parqueaderos","tipo.inmueble","m.cuadra","km.parque","km.centrocom","km.estadio"
"40",2718.767,0.077,6.3579484229112,5.45517576729404,1,0,1,4,1,0,197.2,24.67,4.14,58.22
"41",2927.535,0.07,4.95225732505793,7.15243826119796,2,1,2,4,1,0,201,27.81,8.57,90.31
"42",3250.458,0.072,5.65893916698442,5.62148777202215,3,1,3,1,3,0,200.6,18.06,3.89,21.63
"43",3089.176,0.068,8.42746848654125,6.88563672702684,3,2,2,2,2,0,198,12.71,1.36,101.74
"44",3154.242,0.056,5.91429143281156,3.16081579453628,3,1,2,2,3,1,199.4,10.29,4.25,132.3
"45",3004.835,0.072,8.02282911700014,5.7485530183126,2,1,1,1,3,1,201.4,28.71,1.61,171.24
"46",2702.725,0.055,7.7426933233547,6.60882377960434,1,1,1,2,1,0,203.2,0.65,3.3,72.71
"47",2975.901,0.099,6.71113386297695,5.3325185067079,2,1,2,5,2,0,197.6,14.57,7.4,73.49
"48",3019.177,0.077,7.36971626110741,6.79161381291621,2,1,2,3,1,1,198,1.78,2.53,96.04
"49",3100.571,0.09,7.20306505464365,5.99888633011542,3,2,2,2,2,0,199,1.53,2.75,171.12
"50",3043.692,0.062,6.79420339090363,4.43694530064086,2,1,2,2,1,1,202.6,14.56,8.59,155.56
"51",2581.343,0.091,6.30151687495585,6.26379422909322,1,1,1,5,1,1,199.2,1.3,8.12,119.12
"52",3468.343,0.071,8.32182078749896,6.3182014942095,4,2,3,4,2,1,202.4,5.47,9.96,180.14
"53",3112.41,0.063,7.20357101395969,5.4212655204606,4,2,2,1,2,0,196,6.7,8.16,169.94
"54",2893.996,0.077,8.1541227589805,8.13778068066252,2,1,1,4,1,1,198.6,7.67,7.19,129.29
"55",3250.017,0.075,7.67526081586022,8.25543790026251,3,1,2,5,2,0,220.2,13.12,5.63,91.71
"56",3279.175,0.09,6.9558144640655,4.90587532068602,3,2,3,4,1,1,200.6,5.85,5.82,66.69
"57",3319.672,0.094,5.53193679391019,9.11489090362413,3,2,3,2,1,1,200.4,27.74,1.26,2.54
"58",2861.01,0.097,8.23266951406094,6.830860605876,1,1,1,5,2,1,198.2,21.14,2.37,15.71
"59",2799.243,0.086,7.68574275016677,4.36371322597639,1,1,1,5,2,1,198.4,2.86,4.19,135.43
"60",3167.784,0.059,6.95487639226076,4.88159572800782,3,2,2,4,2,1,200.2,8.26,4.01,91.02
"61",2948.714,0.078,9.06424214630871,4.97250024322326,2,1,1,4,3,0,201,15.23,6.53,32.13
"62",3149.385,0.093,7.88474705602417,6.60294244221043,2,1,2,4,3,1,200.6,21.1,4.39,105.31
"63",2918.201,0.066,7.63803229583753,5.49225079345626,2,2,1,2,3,0,203.8,22.92,1.87,116.87
"64",3465.667,0.099,7.89377504980827,2.67811275863109,4,2,4,5,2,0,200.6,3.97,0.6,63.33
"65",3202.843,0.089,7.76481636665776,9.83829345071988,3,2,3,2,1,0,198.8,11.88,1.14,131.38
"66",3206.299,0.06,7.62454372634948,6.44580986186359,4,2,2,5,2,0,199.6,21.75,2.22,124.3
"67",3143.328,0.054,7.65136156088601,4.57777036683932,2,1,2,3,2,1,203.6,26.53,6.63,65.95
"68",3316.217,0.058,8.48930521878203,5.58093643155096,4,3,3,5,1,0,199.8,2.14,9.29,45.2
"69",3192.714,0.098,5.0262443813751,7.56510464120002,3,1,3,3,1,1,198.4,10.49,0.89,95.49
"70",2773.084,0.081,7.85330645322901,8.02774211368259,1,1,1,2,2,0,203.4,6.38,9.8,34.79
"71",3022.518,0.052,10.5507708611573,6.49999066394887,2,1,2,4,1,0,203.8,14.37,4.95,35.08
"72",2793.092,0.08,7.66364781940901,5.36987146723417,1,0,1,5,3,0,201.4,22.97,7.33,149.99
"73",3144.64,0.085,9.31367250323527,5.02745442940841,3,1,2,4,2,0,202.4,11.83,4.99,65.73
"74",3518.253,0.086,7.97080495035422,7.34261086553124,4,3,3,4,3,1,198,29.43,9.44,142.28
"75",2930.388,0.087,7.73736957901685,2.6357629638909,2,1,1,5,2,1,197.6,21.02,8.06,57.6
"76",3155.824,0.066,6.76390307041971,3.7179411500959,3,1,2,3,1,1,198.8,21.73,0.58,21.87
"77",3126.907,0.08,8.1761964274169,3.31399145696343,3,1,2,2,1,1,197.6,6.89,1.82,140.69
"78",2852.85,0.089,8.86219624176972,4.37445813812295,1,1,1,5,1,1,202,18.63,5.81,42.54
"79",2813.147,0.051,8.93468745014679,5.80965196466534,1,0,1,4,1,1,202.4,13.76,1.06,131.15
"80",3303.528,0.095,7.08215544864852,3.29734667874585,4,3,3,5,2,0,199,20.11,7.52,176.35
"81",2724.178,0.075,4.55432299376933,4.87677573464641,1,1,1,3,1,1,197,23.73,0.86,161.43
"82",3057.647,0.071,6.26647176854959,9.99507434489466,3,2,2,2,2,0,202.4,24.9,3.36,19.68
"83",3212.237,0.085,7.49800792384006,6.82859427872544,3,2,3,3,3,0,195.8,4.72,9.27,183.68
"84",2756.909,0.094,7.36986893901997,6.59660359675456,1,0,1,4,3,0,197,24.96,5.57,132.37
"85",2760.992,0.084,8.38092693080635,4.34344659315872,1,0,1,5,3,0,200.8,1.69,4.32,159.88
"86",3027.707,0.053,8.35595764593774,6.13565415130513,2,1,2,5,1,1,197.8,10.52,2.32,176.73
"87",3227.994,0.068,6.53678484451806,5.09575219430008,3,2,2,3,2,1,203.8,25.75,0.35,11.47
"88",3060.147,0.077,7.03699715344396,5.76104624740452,3,2,3,3,2,0,167.6,23.51,2.94,14.92
"89",2739.073,0.091,7.61581785846488,6.07533300294099,1,1,1,1,2,0,199.2,21.29,5.04,36.61
"90",2770.718,0.093,6.54440494358324,4.35285476992456,1,1,1,5,3,0,199.6,19.41,4.04,195.57
"91",2714.715,0.066,7.62117841820931,5.53252025861138,1,0,1,3,2,0,200.2,1.52,5.63,151.46
"92",3181.138,0.054,7.45215645545826,6.248579841677,3,1,2,3,2,1,198.6,16.18,9.01,127.07
"93",2948.624,0.085,7.76819524974553,6.15376157755484,2,1,2,5,2,0,194.8,7.81,0.59,92.34
"94",3105.517,0.094,6.93859534789622,4.90548959311879,3,1,2,4,3,0,202,13.62,3.49,41.34
"95",3540.915,0.067,6.07790706882632,4.37397231733869,4,3,4,2,1,1,202.2,12.15,9.41,2.52
"96",2796.855,0.055,8.46562565403743,5.16798256637012,1,1,1,4,3,0,200.6,6.02,9.06,171.83
"97",2861.966,0.07,6.13480534798581,6.35117880757039,2,1,1,1,3,0,200.4,25.63,8.66,188.15
"98",3108.372,0.055,6.96842050913226,4.35641361856422,4,1,2,5,1,0,198.2,14.1,9.37,91.02
"99",3385.955,0.095,9.15873418695939,6.05334419332346,4,2,3,5,1,0,202.2,23.96,9.45,190.77
"100",3176.726,0.085,6.67710393127591,5.47737138560249,3,1,2,3,2,1,198.8,15.73,1.01,149.5
"101",2899.793,0.05,8.33642712815505,6.60464310398295,1,1,1,5,2,1,199.4,25.5,8.54,90.67
"102",2979.474,0.082,8.0416683792753,5.47909709034607,2,1,1,5,3,1,201.4,4.42,8.13,184.2
"103",2899.089,0.087,8.09095745515608,6.24882249658872,2,1,1,3,2,0,201.8,23.43,2.62,138.54
"104",2756.977,0.084,7.47132662818656,6.46061148467135,1,0,1,2,1,0,198.2,29.59,8.36,113.13
"105",2753.946,0.093,4.91675103312315,4.77612311912716,1,0,1,1,1,1,198.8,24.61,6.71,68.19
"106",3119.296,0.066,9.00860217736625,4.42766988370755,2,1,2,5,2,1,201.8,17.69,6.16,2.14
"107",2854.341,0.071,8.78387717524284,7.30604605807069,1,0,1,2,2,1,200,4.77,9.55,37.8
"108",2900.019,0.068,6.99162935690442,6.10591171788386,2,1,1,5,1,1,203.6,12.45,8.12,80.55
"109",3263.6,0.085,5.54186785672054,4.58266074289287,3,1,3,5,3,1,199.2,2.05,5.27,100.03
"110",2852.738,0.072,7.80653646794367,5.22152799084477,1,0,1,5,1,1,202.4,22.96,8.82,175.79
"111",2580.199,0.092,4.6810007165736,5.22937391035782,1,1,1,3,3,0,196.4,16.19,3.08,178.38
"112",2782.853,0.093,9.47800186340407,6.2325602024694,1,1,1,1,2,0,199.2,21.38,5.12,183.73
"113",2806.047,0.054,6.11737246155197,5.31003128819352,2,1,1,4,3,0,200.8,12.8,3.1,84.43
"114",2602.756,0.075,7.11868358478841,5.67819797647165,1,1,1,2,1,0,199,26.16,4.8,120.41
"115",2838.799,0.061,8.63971357205115,6.82717330645316,2,1,1,5,1,0,200.6,5.46,7.45,58.99
"116",2986.415,0.068,6.05780673255234,6.42083417344941,2,1,2,5,1,0,204.2,29.22,4.86,176.61
"117",3270.624,0.057,7.81286835592034,6.58339070589566,4,2,3,4,1,0,198.4,2.63,0.86,163.08
"118",3056.927,0.061,6.93986947776966,5.36375366147107,3,1,2,2,1,0,198.4,24.69,9.4,87.87
"119",3169.548,0.06,8.8541226309133,6.79239927540678,4,2,2,5,2,0,200.6,16.13,1.01,132.99
"120",3348.63,0.082,8.1312800334717,6.681983753656,3,2,3,2,2,1,199,8.84,4.49,177.28
"121",3165.951,0.065,6.86206693333262,6.59178382518879,3,1,2,3,3,0,202.6,27.27,2.67,173.41
"122",2711.979,0.064,6.58860828734637,4.09278536738725,1,1,1,2,3,0,198.4,9.4,4.93,51.12
"123",3464.366,0.093,5.34580428093981,6.65103932964538,4,3,4,2,2,0,199.8,23.37,9.51,78.22
"124",3591.434,0.08,7.10848136178623,6.30651524159732,4,1,4,4,2,1,198.8,22.97,2.81,64.38
"125",2795.625,0.077,7.34034417263721,8.16010954231301,1,0,1,5,2,0,203.4,13.92,7.89,33.11
"126",3429.01,0.055,6.43042243128853,4.39368544236153,3,2,3,5,2,1,210.6,20.4,7.45,179.49
"127",2848.079,0.062,7.66107085834418,5.64491021582736,1,0,1,1,2,1,198.4,27.93,4.83,49.89
"128",2688.259,0.059,6.17604709957248,4.01989819705935,1,1,1,1,2,0,197.6,8.44,7.47,2.46
"129",3352.042,0.085,6.83825382562917,4.69103975400446,3,1,3,4,2,1,202.8,24.66,9.77,25.5
"130",2664.259,0.07,6.19742804573061,7.22589534185151,1,1,1,2,1,0,198.4,11.63,3.92,0.36
"131",2999.008,0.057,7.62881976966067,5.63534640490457,2,1,2,3,3,0,194.2,15.67,5.28,178.66
"132",3100.705,0.068,8.71336373523668,5.9430368811556,2,1,2,5,2,1,200,10.91,2.87,169.41
"133",3275.761,0.064,8.94910071493213,5.09408136073765,3,1,2,3,3,1,207,10.76,0.52,143.67
"134",3016.31,0.084,6.88345116358703,5.29623321900679,2,1,2,5,1,1,200.2,5.91,7.49,89.53
"135",3309.494,0.086,8.4479362361073,3.83506830651488,3,2,3,3,2,1,199.4,5.16,1.9,74.97
"136",3154.15,0.086,7.41163350135975,5.75208540493623,3,2,2,1,1,1,196.6,23.6,8.56,167.12
"137",3436.515,0.092,7.45170483005976,4.61421612912353,4,3,3,4,2,1,200,3.64,2.93,64.02
"138",2907.188,0.091,7.05350927824894,8.03188534420777,2,1,1,2,1,1,202,17.09,5.71,111.79
"139",2910.933,0.094,7.19572220509502,10.2454169810697,2,1,1,4,2,0,208.6,18.9,1.66,91.24
"140",3101.384,0.09,7.33411814353908,5.26085564867004,3,1,2,3,3,0,199.2,21.28,9.23,101.39
"141",2958.784,0.077,5.52629292371821,7.02190124399441,2,1,1,3,3,1,199.8,21.99,6.66,176
"142",3096.112,0.089,6.48375103407919,5.92349535410734,2,1,2,5,2,1,200.6,26.05,7.56,10.86
"143",2631.542,0.09,7.65472197139119,5.14540291919917,1,0,1,3,1,0,195,10.45,4.23,0.64
"144",3316.067,0.063,6.51523398502511,5.19128743102949,4,3,2,1,2,1,199.6,15.03,5.78,126.94
"145",2992.161,0.063,8.50025266892663,6.42612319623152,2,1,2,5,1,0,201.2,27.71,8.69,86.89
"146",2838.764,0.098,7.70383291871337,6.1237317371995,2,1,1,4,1,1,196,6.14,1.89,198.59
"147",3211.251,0.056,6.19719712514276,1.00923288333045,4,2,2,4,2,1,196.6,1.59,3.1,173.26
"148",2702.947,0.058,5.67657308278054,5.69738844060621,1,0,1,3,2,0,201,15.37,6,64.74
"149",2973.058,0.076,8.48279013960599,6.24208855917036,2,1,2,3,2,0,197.4,3.47,2.3,145.6
"150",3083.9,0.066,6.8225951961699,6.23276498163519,2,1,2,3,1,1,205.8,20.24,5.95,80.05
"151",2899.49,0.059,7.28341396117623,5.85446686495266,1,0,1,4,2,1,203.2,22.56,8.33,49.49
"152",3524.411,0.069,8.65657656582775,4.8657672879293,4,2,3,3,3,1,202.2,23.42,4.41,34.4
"153",3352.727,0.097,6.40768673477877,4.29287802463981,4,2,3,2,3,0,198.4,24.37,3.01,129.64
"154",3568.065,0.051,6.08087401267301,5.31487644529951,4,2,4,1,1,1,204.8,2.55,5.63,69.3
"155",3117.399,0.093,8.3449562299283,3.74161075378745,3,1,2,2,3,0,199.4,14.69,2,72.19
"156",2963.808,0.088,7.39143879144342,5.08841127561801,2,1,2,5,3,0,198.2,21.14,3.72,62.27
"157",2904.3,0.057,8.64255072570096,4.6787175849732,2,1,1,2,2,1,194,14.86,1.49,72.54
"158",3183.694,0.051,6.32832345907413,5.17021091322725,3,2,2,5,3,1,200.4,5.31,1.64,112.01
"159",2806.589,0.094,7.42487475919408,3.32043643862398,1,1,1,1,1,1,200.8,11.82,9.33,188.56
"160",3157.707,0.078,6.71517216629406,3.47537667359791,3,2,3,2,1,0,197.6,4.17,3.77,66.34
"161",2915.003,0.061,9.21848021056694,5.99810555326868,1,0,1,2,3,1,199,26.01,2.29,63.28
"162",2592.887,0.078,6.70645598268273,5.1254330602372,1,1,1,4,1,0,200.6,15.66,4.01,57.62
"163",3227.045,0.08,7.35042784248024,6.55836180442023,3,1,3,3,2,0,199.4,3.53,5.06,60.73
"164",3164.939,0.091,6.15530124152429,4.91936542522384,3,1,2,5,2,1,200.4,28.99,5.94,162.68
"165",3026.225,0.058,6.9968858405115,2.58532058595309,2,1,2,4,3,0,202,24.82,6.41,47.82
"166",3403.131,0.091,6.10817144352874,6.14179608593834,4,2,3,2,2,1,197,29.14,6.44,70.45
"167",3115.881,0.068,5.29163538405906,6.11321280530543,3,2,2,4,2,1,202.2,8.89,1.04,175.78
"168",2850.093,0.066,7.86032804227949,2.05131945030224,1,1,1,3,3,0,213,18.91,2.7,10.71
"169",2709.618,0.078,5.59832746423362,3.69904805665299,2,2,1,4,1,0,199.8,1.49,3.79,129.85
"170",2672.225,0.089,7.81754004650084,4.01527581297392,1,0,1,5,1,0,199,2.08,0.41,87.05
"171",3050.76,0.067,7.81308511873914,5.01365939485174,2,1,2,3,3,0,201.2,28.77,7.46,89.78
"172",3254.433,0.089,7.63591857270562,5.67560163815232,3,2,3,2,2,0,205.6,4.96,1.27,184.24
"173",3259.59,0.07,7.14909496546098,5.87183458877,3,2,3,3,2,0,202.6,18.46,9.96,12.14
"174",3260.168,0.064,6.26129456809607,4.89237109865493,4,2,3,5,1,0,200.6,1.48,4.65,93.04
"175",3218.41,0.054,7.40917733941402,5.01203466134974,3,1,2,1,3,1,199,13.68,9.71,127.95
"176",3000.85,0.069,7.20189519670932,2.63257494637419,3,2,2,4,1,0,192,23.39,3.43,52.42
"177",3402.016,0.068,7.31985804071247,6.58702310537613,4,2,3,2,1,0,199.4,22.97,5.95,178.67
"178",3436.794,0.085,8.50570118861992,0.829005639245221,4,1,3,4,2,1,199.8,18.71,1.47,118.17
"179",3452.838,0.084,7.6614565016565,6.0784218034938,4,1,3,5,2,1,197.6,25.24,4.01,53.4
"180",3059.229,0.083,7.10542818568394,4.30189568254423,3,2,2,5,2,0,194.2,24.9,8.85,141.87
"181",3078.49,0.051,8.78306163946433,4.34591923647694,2,1,2,2,1,1,200.6,17.59,3.24,155.56
"182",3044.561,0.051,7.2992392377008,2.21682027382141,3,2,2,1,1,0,198.4,23.55,2.54,53.88
"183",3428.905,0.1,9.47147319501186,5.04388121672678,3,1,3,4,3,0,198.2,16.85,8.96,16.03
"184",3185.14,0.054,6.56968804707403,4.39537839132457,4,3,2,3,1,1,194.8,4.82,7.71,67.08
"185",3371.179,0.096,6.66815164087176,3.63031147425361,3,2,3,5,3,1,204.4,26.37,5.16,186.65
"186",2917.834,0.068,8.63252093127969,5.04248915516608,2,1,1,2,3,0,201.2,26.97,5.07,154.01
"187",3172.064,0.068,7.33734267024225,4.20231960335607,3,2,2,4,3,0,198.4,29.96,4.01,96.04
"188",3551.666,0.057,6.94203767466803,4.18006963723327,4,3,4,4,2,1,197,15.55,2.43,149.75
"189",3164.175,0.088,7.15833722188945,5.59200774710538,3,1,2,4,1,1,200.6,6.27,8.34,79.8
"190",2918.367,0.066,8.57307871667583,4.08020042189196,2,1,2,4,2,0,196.8,27.38,0.29,58.57
"191",3190.782,0.097,7.30420167564831,7.82225630216034,3,2,2,4,1,1,198,23.19,6.41,102.9
"192",2976.086,0.056,8.97283493140352,6.65418570938504,2,1,1,1,2,1,199.6,6.85,9.4,33.66
"193",3306.059,0.09,5.80908403821436,7.94762180549818,3,1,3,3,2,1,205.8,3.33,2.78,169.7
"194",3337.317,0.061,5.90204660554198,5.59047608590722,4,2,3,1,1,1,199.8,5.08,6.68,149.45
"195",3510.209,0.096,7.52756383727409,6.51386125931817,4,1,4,5,2,0,199.4,6.76,6.6,123.33
"196",3021.878,0.072,6.8013219928995,4.11288629817195,3,2,2,2,1,0,197.8,29.05,7.6,44.63
"197",3139.345,0.098,9.74756126269209,4.85904175537731,3,2,2,5,2,0,200.8,14.63,6.81,32.75
"198",2865.497,0.096,7.50913952676892,6.16243920874302,1,0,1,2,3,1,198.4,16.11,3.66,108.47
"199",3431.819,0.083,9.09887317568726,4.1390488120917,4,2,3,3,2,1,198.8,10.57,1.69,26.94
"200",2837.564,0.071,8.28046885564777,5.59007174527942,1,1,1,5,1,1,200,13.38,0.95,1.8
"201",3223.939,0.096,8.41304983433805,8.75562484765155,3,2,2,3,2,1,200,19.68,5.3,68.7
"202",3323.873,0.094,5.28805360850507,5.12759508005519,4,2,3,4,1,1,198.2,6.11,2.86,98.42
"203",2731.715,0.099,7.15314461985703,3.63633816465372,1,1,1,5,1,0,202.4,27.72,9.87,106.31
"204",3180.452,0.079,6.34410750901173,9.13175212774161,3,2,2,3,2,1,199.2,18.4,5.47,49.75
"205",2886.981,0.061,6.68962352710828,5.55275246159888,2,1,1,1,2,1,195.2,14.2,8.62,66.99
"206",2988.075,0.086,7.11077170151745,5.83227688233464,2,1,2,2,2,0,197.8,13.03,5.2,21.9
"207",2785.927,0.097,7.89981260742721,6.20496779622562,1,0,1,4,2,0,202.2,28.07,1.51,28.65
"208",3174.126,0.064,6.8545084697557,4.65841029810876,3,2,2,2,2,1,199.6,28.15,7.87,68.4
"209",2945.761,0.092,7.56694518068516,4.737064940237,2,1,1,4,1,1,201.4,15.48,8.8,188.7
"210",3270.967,0.077,5.8862378712134,4.85050269913521,4,3,3,2,1,0,199.4,18.94,7.11,165.39
"211",3093.597,0.091,7.81627757036723,6.06045571747501,2,1,2,3,2,1,201.6,14.18,9.71,100.9
"212",2919.967,0.058,6.69338594947378,4.63125938530169,2,2,1,5,2,1,200,22.74,0.52,193.37
"213",3239.611,0.098,6.81773432604941,5.13923500936778,3,1,3,3,1,1,200.2,10.88,9.96,188.56
"214",3594.144,0.073,7.13919093936513,6.79979253996321,4,3,4,5,1,1,202.6,27.77,4.83,59.28
"215",3359.39,0.096,6.4845227072686,7.084702840265,4,3,3,3,3,0,200.4,17.16,3.76,171.76
"216",2843.811,0.061,7.68083768197647,4.60908159046397,1,1,1,5,2,1,200.6,27.55,8.13,85.94
"217",3404.226,0.074,7.08781138485422,5.15547509202083,4,3,3,4,1,1,198.6,26.3,6.44,61.3
"218",2995.97,0.064,6.54787512498723,3.87824350742286,2,2,2,4,2,0,201.6,12.99,9.31,29.86
"219",2989.188,0.072,6.7306379554355,7.05762532316413,2,1,2,5,1,0,199,20.75,5.84,198.96
"220",2719.991,0.066,6.18119103969058,3.74326759199316,2,1,1,4,1,0,200,12.56,1.15,82.44
"221",3307.452,0.054,6.9646684762547,5.41608461220148,3,2,3,5,2,1,195.8,24.63,8.75,91.84
"222",3112.32,0.082,7.90066397167162,4.70976233720851,3,2,2,5,2,0,202.6,22.84,1.73,184.89
"223",3159.336,0.1,7.27056932825951,6.43604404488345,3,1,2,1,2,1,199.8,4.45,8.07,6.19
"224",3165.105,0.088,9.67569275091322,8.01398073105299,2,1,2,3,2,1,204.6,5.93,8.82,66.79
"225",3127.737,0.074,5.40100916463583,3.1992421301907,4,2,2,2,1,1,199.8,5.52,6.85,62.92
"226",2945.308,0.061,8.31523753195082,5.52111474707729,2,1,1,2,1,1,188.6,14.98,6.23,28.51
"227",2859.818,0.05,7.62764776559524,6.49896025967876,2,2,1,5,3,0,197.6,15.12,8.23,84.52
"228",2850.227,0.086,8.70784822707685,5.90698805178149,1,0,1,3,1,1,200.2,24.76,4.54,51.24
"229",3054.719,0.065,6.52341473793821,6.11875416831317,2,1,2,4,1,1,198.8,19.53,7.11,93.4
"230",2755.707,0.055,6.74313072529459,5.68536609496498,1,0,1,1,1,1,199,8.05,0.54,138.25
"231",3067.195,0.07,6.87631081922147,5.9321173119348,3,2,2,4,1,0,199,22.48,9.46,78.34
"232",3583.683,0.051,6.48221841464144,5.03932519186146,4,3,4,2,1,1,203.8,23.24,6.67,61.79
"233",3039.835,0.067,5.67585984495657,5.7880381602792,3,1,2,3,3,0,195.8,15.45,7.71,2.54
"234",2964.798,0.055,7.40542097929293,6.05093535084938,2,1,2,3,2,0,203.8,18.37,6.77,62.78
"235",3384.877,0.073,4.83618418394773,4.07716408085437,4,3,3,3,2,1,198.4,17.89,6.24,69.22
"236",2829.691,0.063,6.96906595909762,4.67078080017171,1,0,1,1,2,1,201.4,11.39,9.84,93.56
"237",2834.302,0.07,8.13210419418337,8.21260507673923,1,1,1,3,2,1,197.8,0.82,1.23,69.81
"238",3090.279,0.069,7.71394092212244,6.18824463752276,3,2,2,5,3,0,199.6,6.84,2.66,197.05
"239",2835.43,0.072,7.84474111768148,5.11341921641962,1,1,1,3,3,0,207.8,18.89,6.26,4.28
"240",3464.677,0.08,7.38974013260511,5.22099018157754,4,3,4,2,2,0,199.4,3.28,3.97,101.16
"241",3068.602,0.086,6.04097629679269,7.17635480764766,2,1,2,3,3,1,198.4,15.95,2.03,109.75
"242",3163.661,0.094,5.16270755956236,2.63267572713274,4,2,2,5,3,0,201,1.15,8.17,25.17
"243",3174.849,0.099,7.47304369706321,3.21867788737581,3,1,2,5,1,1,202,28.89,1.82,88.53
"244",2846.848,0.054,8.37800271839435,3.70502605655369,2,2,1,2,2,0,199,23.2,3.95,108.01
"245",3310.983,0.083,6.32966258420313,6.29031806021709,3,2,3,3,2,1,196.6,22.58,8.81,140.71
"246",3212.491,0.077,9.21529851011548,4.60462383698156,3,2,2,2,2,1,199.4,8.6,4.94,11.15
"247",2759.519,0.062,7.33830065386166,4.35511941055628,1,1,1,5,2,0,207.6,6.01,3.64,178.69
"248",3528.004,0.064,7.29319335233299,7.34867100737387,4,2,4,1,2,0,204.8,21.48,6.7,18.5
